id,customer_message,historical_response,intent,expected_resolution,should_escalate,escalation_reason
183,"@VirginTrains I paid money for your WiFi and only managed to load one email in half an hour, can I have a refund please?","@467552 Really sorry you had issues with the onboard Wi-Fi, Frances. You can claim a refund by contacting __email__",wifi_connectivity,Review the customer's paid Wi-Fi purchase and provide the appropriate refund process or confirm eligibility for a refund due to the severe connectivity problem.,y,"The customer paid specifically for the Wi-Fi service and is requesting a refund after receiving very poor service, so the individual purchase/refund should be reviewed."
184,@VirginTrains is there going to be a 1935 Chester to London or not? And what time?,@436102 2/2 announcements once we have more info ^HP,train_status,"Provide the latest information about whether the 19:35 Chester to London service will run and, if confirmed, its expected departure time.",y,"The customer is asking about a specific service whose operation is currently uncertain, so current operational information is required."
185,"@VirginTrains We are at Euston only on a day trip, due to return at 15:00, we have first class tickets just for today...",@384056 At this stage tickets for today can only be used on services today ^CB,booking_ticket,"Provide guidance about booking, tickets, or ticket validity.",n,
186,"@VirginTrains You were offering the same £99  advanced family ticket, I just needed to change date because of a hospital appt","@173426 I see, did the team explain the £80 charge to you at all? ^HP",ticket_change,"Explain the process and applicable charge for changing the date of the £99 Advance family ticket, including why an £80 amendment charge may apply.",n,
187,"@VirginTrains Great, thanks",@245770 No problem :) ^HP,other,Acknowledge the customer's thanks and close the conversation politely.,n,
188,@VirginTrains @764611 If you book directly with Virgin. They normally refund this automatically,@764610 @764611 There is a certain criteria to be met for automatic delay repay. ^BT,refund_compensation,Explain the applicable refund or compensation process and relevant next steps.,n,
189,@VirginTrains It's an advance,"@328999 1/2 Thanks for confirming. I'm afraid Advance tickets are only valid from/to the booked stations on the ticket, so you wouldn't be",booking_ticket,"Clarify the validity conditions for the customer's Advance ticket, including whether it can be used for the requested stations or journey.",n,
190,@VirginTrains thank you to the staff member in Birmingham New Street booking office. Late train coming in caused me to miss connection. Put on next and upgraded,@132643 Great to hear Mark! Glad the staff at New Street could help. ^BT,other,Thank the customer for the positive feedback about the Birmingham New Street staff helping with the missed connection and upgrade.,n,
191,@VirginTrains are you declassifying the 18.00 birmingham to london. I had a seat on at 1740 which you cancelled and now the 1800 is so full there aisles are full whilst 1st class is empty!,@697287 The Train Manager will announce en route if that happens ^MW,seat_reservation,Provide guidance about seat reservations or investigate the seating issue.,y,The issue may require case-specific or current operational investigation.
192,@VirginTrains VTN 171005BPCH,"@628028 Thanks Marcus, this is a @120576 reference number, so we'll pass this over to the team for you ^HP",other,The message does not provide enough information for a specific support intent; request clarification.,y,The message is too short or ambiguous to determine the customer's request.
193,"@VirginTrains Hello, no food or drink service in 1st class on the 14.47 from Liverpool. Bolshy crew too. Will we be refunded automatically?",@406020 This can be escalated further with Customer Relations via the online complaints link - https://t.co/yhhJr1rzWg ^MM,refund_compensation,"Review the customer's First Class service complaint and determine whether they are eligible for an automatic refund or other compensation, then provide the appropriate Customer Relations process.",y,"The customer reports missing First Class services and poor crew behaviour, and the historical response directs the matter to Customer Relations for escalation."
194,@VirginTrains Tickets accepted on chiltern?,"@498594 Yes, Matt ^MM",booking_ticket,"Provide guidance about booking, tickets, or ticket validity.",n,
195,"@VirginTrains I have made a complaint. Iit seems ridiculous that for a delayed train the compensation is automatic but for a completely cancelled one (which is WAY more inconvenient) there is nothing... delay = payment back in your bank within 3 days cancelled = min 7 day wait, more like 28?!",@816444 The system requires the train to hit trigger points on the network that confirm the train's performance. If the service is cancelled unfortunately this isn't possible ^CB,refund_compensation,Explain the applicable refund or compensation process and relevant next steps.,y,The issue may require case-specific or current operational investigation.
196,@VirginTrains @424125 I paid a fiver for piss poor wifi that kept dropping out. Who do i complain to for a refund?,@424124 @424125 Again it would be the number provided on the last tweet. Sorry to hear of your experience with thw WiFi. ^BT,wifi_connectivity,Provide the appropriate contact or refund process for the customer's paid Wi-Fi service and review their eligibility for a refund due to repeated connection failures.,y,"The customer paid for the Wi-Fi service and is requesting a refund after poor service, so the individual purchase and refund request should be handled through the appropriate support process."
197,@VirginTrains Did she not. Here is yours ^MM feeling better now?,@132563  https://t.co/wKD6qz5kuK,other,The message does not provide enough information for a specific support intent; request clarification.,n,
198,@VirginTrains yes but it’s the fact that OTHER staff at OTHER stations HELPED. Staff at Crewe this morning. Did not. What if I had fallen?,@345096 2/2 dispatching duties. This is why we have a dedicated team to deal with this ^MM,complaint_feedback,"Acknowledge the customer's complaint about staff assistance at Crewe and the potential safety concern, and pass the incident to the appropriate team for investigation.",y,The customer reports that staff failed to assist in a situation where they believed they could have fallen. The potential safety issue and staff conduct require human review.
199,@VirginTrains Booked in advance. Seat reserved. Off peak single (online),"@660847 As this is an Off peak single you would need to claim for this delay Kat, you can do so here https://t.co/lLmpeuOV1N ^BT",seat_reservation,Provide guidance about seat reservations or investigate the seating issue.,n,
200,@VirginTrains Thanks for that. Can I change my tickets to the morning given the delays?,@433244 Your tickets will be accepted tomorrow Sean.  Sorry about the delays today. ^BT,ticket_change,"Confirm that the customer's tickets can be used on the morning service tomorrow because of the delays, and explain any applicable ticket-change or validity conditions.",n,
